Order ID,Order Date,Region,Product Category,Product,Quantity,Unit Price,Total Sales,Month,Customer ID,Repeat Customer,Quarter
1001,2022-04-13,East,Electronics,Chair,6,210.81,1264.86,2022-04,CUST0019,Yes,2022Q2
1002,2022-12-15,East,Office Supplies,Notebook,2,210.81,421.62,2022-12,CUST0195,No,2022Q4
1003,2022-09-28,North,Electronics,Phone,4,210.81,843.24,2022-09,CUST0175,No,2022Q3
1004,2022-04-17,South,Office Supplies,Monitor,3,210.81,632.43,2022-04,CUST0141,No,2022Q2
1005,2022-03-13,South,Electronics,Printer,7,210.81,1475.67,2022-03,CUST0246,No,2022Q1
1006,2022-07-08,West,Furniture,Pen,9,210.81,1574.75,2022-07,CUST0093,No,2022Q3
1007,2022-01-21,South,Office Supplies,Chair,5,210.81,1054.05,2022-01,CUST0239,No,2022Q1
1008,2022-04-13,North,Office Supplies,Printer,6,210.81,1264.86,2022-04,CUST0205,No,2022Q2
1009,2022-05-02,East,Office Supplies,Printer,2,210.81,421.62,2022-05,CUST0048,No,2022Q2
1010,2022-08-03,South,Office Supplies,Laptop,3,210.81,632.43,2022-08,CUST0245,Yes,2022Q3
1011,2022-11-27,West,Furniture,Phone,3,210.81,632.43,2022-11,CUST0295,No,2022Q4
1012,2022-03-29,South,Office Supplies,Chair,9,210.81,1897.29,2022-03,CUST0128,No,2022Q1
1013,2022-04-10,North,Furniture,Notebook,7,210.81,1475.67,2022-04,CUST0282,No,2022Q2
1014,2022-12-26,West,Furniture,Pen,8,210.81,1686.48,2022-12,CUST0017,No,2022Q4
1015,2022-06-01,South,Furniture,Chair,9,210.81,1897.29,2022-06,CUST0071,No,2022Q2
1016,2022-05-11,West,Furniture,Notebook,6,210.81,1264.86,2022-05,CUST0269,No,2022Q2
1017,2022-05-30,North,Electronics,Printer,4,210.81,843.24,2022-05,CUST0282,Yes,2022Q2
1018,2022-11-05,East,Electronics,Pen,1,210.81,210.81,2022-11,CUST0007,Yes,2022Q4
1019,2022-09-15,North,Office Supplies,Notebook,8,210.81,1686.48,2022-09,CUST0103,No,2022Q3
1020,2022-12-10,North,Electronics,Monitor,7,210.81,1475.67,2022-12,CUST0193,No,2022Q4
1021,2022-10-21,North,Electronics,Notebook,2,210.81,421.62,2022-10,CUST0241,No,2022Q4
1022,2022-07-11,North,Office Supplies,Laptop,8,210.81,1686.48,2022-07,CUST0062,Yes,2022Q3
1023,2022-10-04,East,Office Supplies,Phone,5,210.81,1054.05,2022-10,CUST0017,Yes,2022Q4
1024,2022-06-10,East,Office Supplies,Printer,7,210.81,1475.67,2022-06,CUST0171,No,2022Q2
1025,2022-11-10,West,Electronics,Notebook,4,210.81,843.24,2022-11,CUST0025,No,2022Q4
1026,2022-01-22,South,Electronics,Phone,5,210.81,1054.05,2022-01,CUST0251,Yes,2022Q1
1027,2022-09-10,East,Office Supplies,Desk,8,210.81,1686.48,2022-09,CUST0253,No,2022Q3
1028,2022-08-24,East,Furniture,Desk,1,210.81,210.81,2022-08,CUST0207,No,2022Q3
1029,2022-12-11,South,Office Supplies,Phone,1,210.81,210.81,2022-12,CUST0029,No,2022Q4
